student_id,branch_id,cgpa,active_backlogs,has_internship,gender,current_degree,internship_count,resume_score,coding_score,communication_score,placement_status,graduation_year
ST0001,5,9.76,0,True,Female,B.Tech,1,96,98,90,Eligible,2027
ST0002,3,8.54,0,False,Male,B.Tech,1,93,92,96,Eligible,2027
ST0003,2,7.74,0,False,Male,B.Tech,0,73,77,77,Eligible,2027
ST0004,3,8.99,0,False,Female,B.Tech,2,83,86,95,Eligible,2027
ST0005,4,7.19,0,False,Male,B.Tech,0,77,75,52,Eligible,2027
ST0006,5,8.55,1,False,Female,B.Tech,0,91,80,85,Eligible,2027
ST0007,2,6.38,0,False,Female,B.Tech,0,57,72,87,Eligible,2027
ST0008,4,6.45,0,False,Male,B.Tech,0,61,55,65,Eligible,2027
ST0009,3,6.39,0,False,Male,B.Tech,1,67,60,88,Eligible,2027
ST0010,2,8.86,0,False,Female,B.Tech,0,95,87,75,Eligible,2027
ST0011,3,8.83,0,False,Female,B.Tech,0,85,82,60,Eligible,2027
ST0012,5,6.12,0,False,Female,B.Tech,1,67,52,61,Eligible,2027
ST0013,3,9.7,0,False,Female,B.Tech,1,96,90,57,Eligible,2027
ST0014,1,9.52,0,False,Female,B.Tech,0,89,97,79,Eligible,2027
ST0015,4,8.34,0,False,Female,B.Tech,0,78,77,70,Eligible,2027
ST0016,3,8.39,0,False,Female,B.Tech,0,84,82,98,Eligible,2027
ST0017,1,7.65,0,True,Female,B.Tech,0,74,66,97,Eligible,2027
ST0018,1,6.52,0,True,Male,B.Tech,0,75,56,76,Eligible,2027
ST0019,5,9.64,0,False,Male,B.Tech,0,92,100,82,Eligible,2027
ST0020,5,8.66,1,False,Male,B.Tech,0,92,76,79,Eligible,2027
ST0021,2,8.4,0,False,Female,B.Tech,0,86,79,84,Eligible,2027
ST0022,5,7.06,0,False,Male,B.Tech,0,69,69,52,Eligible,2027
ST0023,2,7.67,0,False,Female,B.Tech,1,77,73,81,Eligible,2027
ST0024,3,9.7,0,False,Male,B.Tech,2,100,100,90,Eligible,2027
ST0025,4,8.48,0,False,Female,B.Tech,0,87,89,70,Eligible,2027
